"index","Author","Favorites","Retweets","Replies","Tweet ID"
"CryptoMagia","Christian (33.3%)",126,"13",15,"1628657154742792197"
"From0to0_1","slashs🐍",255,"40",262,"1628446042084589572"
"punk828_","Actually Fked (33.3%)",12,"1",6,"1628709317666029568"
"Baumbach68Extra","y00ts",12580,"4353",1507,"1563097009329819648"
"Boubble3","Joshua Werner Yield/health farmer 👨‍🌾 🦍 💪🫡 🥇",1,"0",1,"1628716565846802432"
"BettyMakenzie28","🌔VH ⚔️⭕⚔️",78,"14",7,"1626990683222577154"
"NextWalsh29","y00ts",5465,"1628",648,"1588432785890758656"
"0xGreggy","DeGods UK II",139,"11",19,"1628658441173467138"
"SolanaOrange","Fleury",243,"56",154,"1628492291554902017"
"CadenceHadley27","Shipp",8,"3",3,"1627805661537894400"
"tezukaTez","Wolf of y00tstreet",25,"5",6,"1628744792845824001"
"RyuWeb_3","KEEZi",122,"23",47,"1628820756917354499"
"EdgarBoehm7","Zero Cool | 1/1",3780,"729",460,"1562181064096976896"
"deMiamiBunny","Blockasset",33,"15",60,"1628817195634503683"
"7d602dc81d464d2","RizeN 🦂",329,"376",37,"1537792882442133505"
"Yargunnersyar","banana",4,"0",2,"1628813825909596162"
"indianadonky","Shield",1,"1",1,"1628823496091377664"
"cheyenneLewensk","Humble | John 3:16 𝐗+🔔",116,"354",20,"1595176881858519040"
"ba09117","Trippin’ Ape Tribe",285,"396",33,"1564101112541724673"
"SlakeWind_Trues","Celine 👩‍🎨",104,"306",9,"1591556438060572675"
"khansawera53","Solana",1076,"482",130,"1589319344378769408"
"NFTFarmer1","KEEZi",138,"7",28,"1628508380720517121"
"nowczaq","HazardzistAA",5,"2",0,"1628829436559691778"
"Jessica22241769","Netr1pp3r$ | MINT MARCH 3RD",1170,"777",407,"1616865772596248578"
"ImaRealOneTho","Trippin’ Ape Tribe",193,"323",16,"1571644896984940546"
"NFTFarmer1","Earnelo Vee",57,"4",13,"1628528517997527040"
"TiannaWilliams0","Trav",43,"306",5,"1537593339423301632"
"follow_arich","deadtype.sol",23,"8",2,"1628823190225973252"
"AntonioKinlow","andrew",2,"186",5,"1566987833348440065"
"WilliamButhler","Decrypt",118,"33",11,"1628788064821673984"
"SeakayTFT","MyNamesVinay.Sol (33.3%)",232,"21",47,"1628567556196794369"
"tylapman","Stupifff 🧬",18,"299",21,"1592221647607848960"
"slavagrbz","Bubblegoose Ballers 💎",1,"0",1,"1628830910492864512"
"trucks_anddip","corndog | tD",235,"339",35,"1566594417862909953"
"kramrogNL","Leonard | Dust Labs",27,"2",4,"1628824341684051970"
"DeCustoms","TⓨM 🟠",16,"0",6,"1628590880591589376"
"CourtLS","Trippin’ Ape Tribe",271,"404",34,"1563272442096656386"
"eyeless_NFT","zink ☄️",100,"1",36,"1628811539070308352"
"bonezzz0909","𝗼𝗪𝘆𝗹𝗲𝗲",212,"53",66,"1628788647699877888"
"Dayquil718","RUNDEAD - SOLD OUT!",37,"4",27,"1628786543006715904"
"vinuroc","pd",81,"326",14,"1564184486719369216"
"OfficialDarkBo","Wolfeo 𝐗+🇦🇺😈",115,"312",14,"1594914864237248512"
"MollyNewcomer","Monster",103,"317",7,"1541295133169094657"
"ZumraOdabas","DrS◎LanaNFT | tD🔔III",92,"322",31,"1538944980793835520"
"ideliverpizza2u","jd6",18,"0",4,"1628831150507687941"
"jurigkekeset","AOD",115,"315",15,"1567691836390531078"
"AlvaFeritas","TyPEN (33.3%) 🍟",76,"8",15,"1628700065828114432"
"wallstreetship","Rainy Reece",127,"18",17,"1628550172975284225"
"CryptoKeezi","bchillz",2,"0",1,"1628829475436924929"
"purplebanga2003","3shoulders",84,"310",20,"1590811331145375745"
"CryptoKeezi","Ryu ||| King y00tstradamus",1,"0",1,"1628829865209389060"
"CryptoKeezi","Smawsh",2,"0",1,"1628830129299365888"
"gwerklmgwergjle","Swift 🛩️",58,"341",10,"1585105831867318273"
"CryptoKeezi","FarmerD ⑦👑",2,"0",1,"1628830421558652928"
"NoeDelgadoCoro1","Shield",34,"15",8,"1628792091240169474"
"GeneUfo23","y00ts",1746,"532",348,"1614245559753379843"
"s0me_art","Digital Lawrence",8,"1",4,"1628824292799705088"
"DilekGuneysu","project0 | LFGUZZLE.SOL",131,"335",13,"1556397091282231296"
"Mind_Blown304","Mag ☢️ (33.3%) 🍟《TYR》🍻",88,"337",9,"1564072889225191424"
"pupkinn__","fonsiman.sol .eth",18,"299",19,"1544287325265485825"
"dariongianoglio","Joyce 📚",4,"0",2,"1628739703426916354"
"lucky_strriker","dimacash",28,"2",5,"1587418127926697992"
"SolProfessor565","LoveMake.eth",41,"10",12,"1628817996838838272"
"WilliamButhler","kramrogNL.eth X+ 007",53,"9",7,"1628809713633689600"
"chiduwa_proud","Jimwy III",2,"1",1,"1628781841120370690"
"xoxo_ashley0","jmos.eth lll (33.3%)",374,"386",47,"1538169125347934210"
"Ty_M_","Sock Junkie",1,"0",1,"1628820296940638210"
"Maxduke_","BigMac 🔫",11,"3",4,"1628626390009663489"
"ElScadet","Mummy | Laura 💜",0,"0",1,"1628803402388975617"
"KmvTrakt","Leonidas.og",2,"190",1,"1565401721098145792"
"Ty_M_","DeCustoms 33.3% ⓨ",1,"0",1,"1628831513092448256"
"s0me_art","P.ciantar.eth",22,"5",6,"1628820104409681921"
"MargaretHegman3","y00ts",1811,"568",217,"1597340794502774784"
"Busines56758877","S◎L Big Brain (33.3%)",1572,"188",277,"1628127233838546945"
"NuevoTweet23","project0 | LFGUZZLE.SOL",126,"303",14,"1555448389336064000"
"5zink","Eyeless",1,"0",1,"1628831519627157505"
"bbloom13","Beth Bloom",2445,"506",101,"1628785026107158530"
"NFTUnicorn___","abviok",6,"3",0,"1628807444762615808"
"doogsrobdaveian","viktor🐐",72,"321",14,"1595179151593553929"
"dsbcrypto","Abrizzey🎨",24,"0",8,"1628818904046002176"
"qwenm91","NFT Update",0,"193",0,"1581062768202960897"
"NFTUnicorn___","Alex Alexander 😼",3,"2",0,"1628811107686137860"
"Peter__Sun","Carnagenft(33.3%)",284,"344",33,"1538339974818541569"
"Billy_DeGod","Naz (33.3%)",52,"1",13,"1628654795941720065"
"vhale1023","Sw00nkeⓨ (33.3%)",99,"283",6,"1592309558177062912"
"WilliamButhler","Flayz X+",27,"5",5,"1628824270271836164"
"osamadead_wtf","Grandma 007 👵🏽",33,"302",65,"1591457449202315264"
"ThewmanMcSlaps","DoctapantheR.eth 🐯",43,"0",32,"1628782470987665408"
"DeAliceofSOL","DrS◎LanaNFT | tD🔔III",68,"8",11,"1592995981850988547"
"SolanaaMo","Abhi",15,"1",4,"1628819310318878721"
"naeemku","macca 🇦🇺",14,"302",8,"1590397131172765696"
"crazychik123456","Sensei-527 (33.3%)",289,"374",37,"1558583802460504078"
"TrippleX_","Barry Lime 🦇🔊",231,"24",61,"1628497261444452356"
"georgiamoore03","Futura",135,"329",16,"1591920461319131137"
"GeorgeHoerler","Mummy | Laura 💜",113,"9",59,"1628717718986792960"
"InflCordie","DeGods III",618,"562",660,"1487735648669044741"
"jaycatolos","Carteldebt.eth",263,"334",38,"1591133458130403329"
"Humblejohn316","Mike.EGLD ⌐◨-◨🍟",22,"3",5,"1628835211638190080"
"WilliamButhler","Samuel Perez 007",40,"7",3,"1628807946074300418"
"whoneedsthis_","m183.eth",259,"299",29,"1593738427022942209"
"DeAliceofSOL","NFT Doctor",194,"17",17,"1594061647189921792"
"eellaizer","0xNixune™ ⌐◨-◨ 🟢",122,"309",11,"1591713193948508161"
"MAXX0U812","Rouva",63,"99",38,"1628555365993312257"
"RogerVakers","RogerVakers.eth",17,"0",6,"1628835529864237056"
"Fay72Low","DeGods III",2480,"767",304,"1603573065081765889"
"ChampsPace3051","Ryan Kumar 🌴",340,"28",75,"1628247391450148864"
"manzombie_eth","manzombie.eth",2,"0",0,"1628824680374099973"
"_Ganjapreneur","SBJ ⓻ 🟫🟥⬜🟨",43,"2",26,"1628528684003999745"
"Android65O","Hozzy Hoizhagga III",108,"14",11,"1628761904146423809"
"Android65O","🟠 Xenobielz (33.3%) 🟠",17,"4",1,"1628760990069424128"
"ButchTripps","BiBiT",70,"12",6,"1628695180823134208"
"JordanCampbel26","Anti Anti NFT Capital",223,"358",38,"1564228400218349569"
"E_Rex_Shawn","Anna |||",49,"41",39,"1628820084880809984"
"TheScoopEth","PixelRainbowNFT (aka 5h4gg0) 💀🍟",31,"4",0,"1628802588295499777"
"DeMessYa10","D◎ y⌐◨-◨t Even NFT Bro!? ☢️ ⚛️ 👑 X+ 007 ⌐◨-◨",80,"12",6,"1628577739929276424"
"Android65O","TB (33.3%)",13,"2",0,"1628788706420170755"
"SBB_crypto","Lord Devon",6,"1",0,"1628730655155621891"
"VanSinh82","TIEXO 📱 🎒 🚀",5,"2",1,"1628798328027717634"
"LionLegend4355","Jay 🫡",12,"1",1,"1628758900332691456"
"DE3D19","TRAP",26,"1",1,"1628790017194590209"
"elrondadamnft","BaXt38",3,"0",1,"1628827447302008834"
"fabian_reinger","y00ts",2759,"874",317,"1609454470521573376"
"LienBeckerSupe1","y00ts",5002,"945",710,"1607156616201392128"
"CowEnterprises","FarmerD ⑦👑",2,"0",1,"1628830229639868416"
"CowEnterprises","chagenko",1,"0",1,"1628829388505509889"
"VultureVentureC","VultureVentureCapital™️ ®️ 🦅",10,"8",1,"1626667984348676096"
"GreasyNutz69","xavif.sol {DAODAO} 🧘🏽‍♂️",80,"14",5,"1628500595236651009"
"Thesolkinger","Jet 💙⚡️",93,"27",15,"1628672529324998656"
"Noam42216478","cryptoman.sol",19,"8",7,"1628739023895203840"
"frantabae_","Sensei-527 (33.3%)",536,"370",77,"1554176909168312323"
"LamBino777","Slime",27,"2",1,"1628792330298789888"
"DeAliceofSOL","PattyIce X+",107,"4",10,"1597426501909381122"
"Greasy_Gecko","SolanaFloor - NFT Analytics & News",57,"16",6,"1628393179241189378"
"slavagrbz","Mttvssn",1,"0",1,"1628839007898435585"
"Thesolkinger","Solana Sensei",1226,"442",586,"1628796871626964993"
"CowEnterprises","GEMS – Sol Visit🟠rs (33.3%)🛸",1,"0",1,"1628797130151444480"
"49Cervantes","ɢᴏᴏᴅғᴜᴛᴜʀᴇ 🫡",274,"329",40,"1593373644549488640"
"DeAliceofSOL","DeGods III",357,"88",30,"1597069375785160704"
"pumpz0r","Sm0key | tD 🔔",176,"24",31,"1628488684889841664"
"SolBabyJesus","Ganjapreneur",1,"0",1,"1628836165246922753"
"SolBabyJesus","YourSolGuy ➕",2,"0",1,"1628824953800781830"
"SolBabyJesus","Tank UCD Ⓚ",1,"0",1,"1628811381389594626"
"SolBabyJesus","Killu",1,"0",1,"1628793860452130822"
"binata_elle","Huurrr 🔺",224,"322",21,"1592742156954836992"
"FirstChassidy","Aussie NFT Guy",2312,"1897",655,"1615561543114182656"
"SolBabyJesus","TMSN (33.3%) {313}《TYR》",1,"0",1,"1628720201884655616"
"SolBabyJesus","lazyleoni.eth 🔜",2,"0",1,"1628710954740359168"
"Imahumansoya","Brad",211,"321",59,"1589317869699235841"
"SolBabyJesus","NFT00rkun (33.3% 🥃,🦉)",2,"0",1,"1628692781882396672"
"nilamiu","!CryptoT00na 🧹 (33.3%) (SHFT)",234,"349",30,"1540721063272783872"
"SolBabyJesus","LtsPrty III 🪩 (33.3%)",1,"0",1,"1628670595234689024"
"SolBabyJesus","devjabi.sol",0,"0",1,"1628673628438142977"
"DeAliceofSOL","NFT Doctor",174,"10",13,"1600606741254836232"
"Bradtke27Extra","Pokeee.eth",4827,"1322",1480,"1614968118287433728"
"RobbyThompson_","Smawsh",23,"1",3,"1628789319606435841"
"ItsenoVip","The Whitelist Project ⬜",9,"4",0,"1628770759773458442"
"MagFomo","FOMO Media",0,"0",1,"1628840934392885248"
"MagFomo","FOMO Media",0,"0",1,"1628840937433763840"
"GarthWilderman","y00ts",7720,"3257",1875,"1565901754671042562"
"ginamd99","DrDaveDeFi 🔺⛓👨‍🌾🪨⛏",105,"304",13,"1592390636891951104"
"MrSnow_615","Zw3e",11,"3",2,"1628810384617648129"
"_Ganjapreneur","SBJ ⓻ 🟫🟥⬜🟨",0,"0",1,"1628839575027167234"
"IVRunning","Sith Sou (33.3%) 🟠",3,"0",1,"1628807685125685250"
"AlesyaAinsly","Jakey | tD 🔔",106,"69",74,"1628501572941389824"
"ytothek","BWeys 📈",123,"12",26,"1628550181267419138"
"ejjayn147","project0 | LFGUZZLE.SOL",148,"331",20,"1554343877498130432"
"Mines_DoDo","Ruten 007",4,"1",1,"1628840893590429696"
"JUTTAli54","Barkley 🐵 🚀",59,"312",6,"1563128519256772610"
"SolBabyJesus","Ganjapreneur",1,"0",1,"1628841227520180226"
"SOL_4LYF","DEGEN NEWS 🗞️",97,"14",9,"1628688841493172230"
"MattShell20","Virtuoso",2,"2",1,"1628842224132947970"
"MoonEkko33","Sm0key | tD 🔔",37,"1",7,"1628842998971928576"
"BossBrother","Koerbel",1,"1",0,"1628843001597362178"
"theMAMgeneral","M*A*M General (33.III)W~y🍊🍊ts",25,"7",3,"1627900493468160000"
"Eth00Jack","Sherlock.Andn◎thinelse00⓻",64,"9",8,"1628611648952086529"
"theMAMgeneral","SK_Bastos",5,"1",2,"1628842724865544195"
"Newman92670081","Newman",53206,"5844",827,"1628607818940006401"
"Eth00Jack","kthnxxbye (33.3%)",46,"7",1,"1628717019032915968"
"DeAliceofSOL","TunnelVision 🇬🇧",67,"12",1,"1600745459538354177"
"Claytz5","EZBREEZEY (RAFFLE MAXI)",116,"9",20,"1628566099414466566"
